panel,model_year,engine_family,engine_code,engine_test_model,pollutant,test_type,cert_result,units,fel,standard,adj_result,fcl
nonroad,2013,DFPXL12.9TR4,F3BFE613A*A,,NMHC,steady_state,0.02,g/kW-hr,,,,
nonroad,2013,DFPXL08.7EVG,F2CFE614A*A,,NMHC,steady_state,0.02,g/kW-hr,,,,
nonroad,2013,DFPXL06.7DGB,F4GE9685A*J,,NMHC,steady_state,0.16,g/kW-hr,,,,
nonroad,2013,DKLXL23.2FD5,2C01,,NMHC,steady_state,0.3,g/kW-hr,,,,
nonroad,2013,DKLXL23.2FD5,2G05,,NMHC,steady_state,0.44,g/kW-hr,,,,
nonroad,2013,DCEXL023.AAB,CPL3083FR50063,,NMHC,steady_state,0.4,g/kW-hr,,,,
nonroad,2013,DCEXL023.AAB,CPL2852FR50049,,NMHC,steady_state,0.3,g/kW-hr,,,,
nonroad,2012,CJDXL06.8210,4045HPRNT7,,NMHC,steady_state,0.0,g/kW-hr,,,,
nonroad,2013,DCEXL15.0AAA,3797:FR11014,,NMHC,steady_state,0.0,g/kW-hr,,,,
nonroad,2013,DCEXL15.0AAI,3794:FR11012,,NMHC,steady_state,0.06,g/kW-hr,,,,
nonroad,2013,DVPXL09.4BAA,1,,NMHC,steady_state,0.18,g/kW-hr,,,,
nonroad,2013,DVSXL12.8T4I,13-6 13-20,,NMHC,steady_state,0.01,g/kW-hr,,,,
nonroad,2013,DVSXL16.1T4I,16-9 16-11,,NMHC,steady_state,0.01,g/kW-hr,,,,
nonroad,2013,DKBXL.276KCB,OC60-EF01,,NMHC,steady_state,0.58,g/kW-hr,,,,
nonroad,2013,DFPXL06.7SCB,F4DFE6138*A,,NMHC,steady_state,0.03,g/kW-hr,,,,
nonroad,2013,DFPXL04.5SCB,F4HFE413L*A,,NMHC,steady_state,0.03,g/kW-hr,,,,
nonroad,2013,DKBXL01.1DCB,D1105-EF01,,NMHC,steady_state,0.33,g/kW-hr,,,,
nonroad,2013,DFPXL03.4CDD,F5DFL413A*E,,NMHC,steady_state,0.03,g/kW-hr,,,,
nonroad,2013,DCPXL11.1ESJ,CERT TEST 1,,NMHC,steady_state,0.08,g/kW-hr,,,,
