panel,model_year,engine_family,engine_model,engine_code,displacement_l,certification_fuel,engine_operation,test_procedure,test_procedure_type
nonroad,2021,MKLXL03.3JDB,SAA4D95LE-6-C,4C17,3.261,7-15 ppm Ultra Low Sulfur Diesel,Variable Speed,Steady-State 8-Mode Cycle,Ramped-Modal Testing
nonroad,2020,LCPXL58.6HXF,3512E,CERT 1,58.561,7-15 ppm Ultra Low Sulfur Diesel,Variable Speed,Steady-State 8-Mode Cycle,Ramped-Modal Testing
nonroad,2021,MFPXL12.9IGR,,,,,,,
nonroad,2021,MSZXL02.2ZTA,AZ-4LE2T,4LE2TDZAA-01,2.1790000000000003,7-15 ppm Ultra Low Sulfur Diesel,Variable Speed,Steady-State 8-Mode Cycle,Ramped-Modal Testing
nonroad,2021,MJDXL02.9121,,,,,,,
nonroad,2021,MMVXL01.0EDB,L3E,L3E-P9-2,0.9530000000000001,7-15 ppm Ultra Low Sulfur Diesel,Constant Speed,Steady-State 5-Mode Cycle,Ramped-Modal Testing
nonroad,2020,LPKXL03.6FW1,904J-E36TA(C3.6),PARENT-4770/2400,3.621,7-15 ppm Ultra Low Sulfur Diesel,Variable Speed,Steady-State 8-Mode Cycle,Ramped-Modal Testing
nonroad,2020,LKLXL08.9AAM,SAA6D114E-6,4353:FR94516,8.88,7-15 ppm Ultra Low Sulfur Diesel,Variable Speed,Steady-State 8-Mode Cycle,Ramped-Modal Testing
nonroad,2020,LCEXL019.AAD,QSK19-C,8533:FR4431,18.942,300-500 ppm Low Sulfur Diesel,Variable Speed,Steady-State 8-Mode Cycle,Ramped-Modal Testing
nonroad,2020,LKBXL03.3E1D,,,,,,,
nonroad,2020,LY9XL09.3DAA,DC09 086A,2 133 497,9.291,7-15 ppm Ultra Low Sulfur Diesel,Variable Speed,Steady-State 8-Mode Cycle,Ramped-Modal Testing
nonroad,2020,LDZXL02.9016,TCD2.9L4,C4DI55C,2.9250000000000003,7-15 ppm Ultra Low Sulfur Diesel,Variable Speed,Steady-State 8-Mode Cycle,Ramped-Modal Testing
nonroad,2021,MKHXL01.9DIM,KDI1903M,,1.861,7-15 ppm Ultra Low Sulfur Diesel,Constant Speed,Steady-State 5-Mode Cycle,Discrete-Modal Testing
nonroad,2020,LJCBL04.8S12,448 TA4-129,E3C,4.765000000000001,7-15 ppm Ultra Low Sulfur Diesel,Variable Speed,Steady-State 8-Mode Cycle,Ramped-Modal Testing
nonroad,2017,HCEXL08.9AAN,QSL8.9,4807;FR95299,8.88,7-15 ppm Ultra Low Sulfur Diesel,Variable Speed,Steady-State 8-Mode Cycle,Ramped-Modal Testing
nonroad,2021,MCEXL0540AAB,QSL,8548:FR91672,8.88,300-500 ppm Low Sulfur Diesel,Variable Speed,Steady-State 8-Mode Cycle,Ramped-Modal Testing
nonroad,2021,MPKXL02.2NLC,404D-22(C2.2),PARENT-GN28/1500C,2.217,7-15 ppm Ultra Low Sulfur Diesel,Constant Speed,Steady-State 5-Mode Cycle,Discrete-Modal Testing
nonroad,2021,MMMLL02.6M73,VNEM373,VNEM373,2.649,7-15 ppm Ultra Low Sulfur Diesel,Variable Speed,Steady-State 8-Mode Cycle,Discrete-Modal Testing
nonroad,2021,MMMLL02.6T60,VNET360,VNET360,2.649,7-15 ppm Ultra Low Sulfur Diesel,Variable Speed,Steady-State 8-Mode Cycle,Discrete-Modal Testing
nonroad,2021,MYDXL.569NXA,,,,,,,
nonroad,2016,GCEXL019.AAD,QSK19-C,8533:FR4431,18.942,300-500 ppm Low Sulfur Diesel,Variable Speed,Steady-State 8-Mode Cycle,Ramped-Modal Testing
nonroad,2021,MMMLL02.7H42,HE-42,HE-42,2.7310000000000003,7-15 ppm Ultra Low Sulfur Diesel,Variable Speed,Steady-State 8-Mode Cycle,Discrete-Modal Testing
nonroad,2021,MMMLL02.7H39,HE-39,HE-39,2.7310000000000003,7-15 ppm Ultra Low Sulfur Diesel,Variable Speed,Steady-State 8-Mode Cycle,Discrete-Modal Testing
nonroad,2021,MPKXL04.4NP1,1104D-E44T(C4.4),PARENT-4506/1800,4.399,7-15 ppm Ultra Low Sulfur Diesel,Constant Speed,Steady-State 5-Mode Cycle,Discrete-Modal Testing
nonroad,2021,MMMLL02.7C38,CE-38,CE-38,2.7310000000000003,7-15 ppm Ultra Low Sulfur Diesel,Variable Speed,Steady-State 8-Mode Cycle,Discrete-Modal Testing
nonroad,2018,JYDXL1.64NKA,,,,,,,
nonroad,2019,KYDXL1.64NKA,,,,,,,
nonroad,2020,LYDXL1.64NKA,,,,,,,
nonroad,2021,MKBXL01.3DCC,,,,,,,
nonroad,2021,MYDXL03.3TGA,,,,,,,
nonroad,2021,MYDXL02.0S4T,,,,,,,
nonroad,2021,MYDXL02.2NFB,4NNYPC0C,,2.19,7-15 ppm Ultra Low Sulfur Diesel,Variable Speed,Steady-State 8-Mode Cycle,Ramped-Modal Testing
nonroad,2021,MDZXL04.8029,TCD2013L04 2V,D3UC100,4.764,300-500 ppm Low Sulfur Diesel,Constant Speed,Steady-State 5-Mode Cycle,Discrete-Modal Testing
nonroad,2020,LDZXL02.9020,TD2.9L4,C4DI55C,2.9250000000000003,7-15 ppm Ultra Low Sulfur Diesel,Variable Speed,Steady-State 8-Mode Cycle,Ramped-Modal Testing
nonroad,2021,MKBXL01.5BPD,,,,,,,
nonroad,2021,MKBXL01.5FCC,,,,,,,
nonroad,2021,MKBXL01.7ECB,,,,,,,
nonroad,2021,MKBXL02.4EKD,,,,,,,
nonroad,2021,MKBXL02.4E1D,,,,,,,
nonroad,2021,MKBXL02.4E3D,,,,,,,
nonroad,2021,MDCLL01.0D5G,,,,,,,
nonroad,2021,MFPXL03.4ASD,,,,,,,
nonroad,2021,MKMCL2.39A45,,,,,,,
nonroad,2021,MDICL07.6LEA,DL08P,DL08-LEE01,7.640000000000001,7-15 ppm Ultra Low Sulfur Diesel,Variable Speed,Steady-State 8-Mode Cycle,Ramped-Modal Testing
nonroad,2021,MDICL05.8LEB,DL06P,DL06-LEE18,5.89,7-15 ppm Ultra Low Sulfur Diesel,Variable Speed,Steady-State 8-Mode Cycle,Ramped-Modal Testing
nonroad,2021,MFPXL06.7LIM,,,,,,,
nonroad,2020,LCPXL106.NVG,C175-20,CERT 1,105.83200000000001,7-15 ppm Ultra Low Sulfur Diesel,Variable Speed,Steady-State 8-Mode Cycle,Ramped-Modal Testing
nonroad,2020,LMDDL95.4GTZ,20V4000G94S,7328,95.33200000000001,7-15 ppm Ultra Low Sulfur Diesel,Constant Speed,Steady-State 5-Mode Cycle,Discrete-Modal Testing
nonroad,2020,LCPXL18.1HTF,C18,CERT TEST 1,18.131,7-15 ppm Ultra Low Sulfur Diesel,Variable Speed,Steady-State 8-Mode Cycle,Ramped-Modal Testing
nonroad,2020,LCPXL15.2HTF,C15,CERT TEST 1,15.213000000000001,7-15 ppm Ultra Low Sulfur Diesel,Variable Speed,Steady-State 8-Mode Cycle,Ramped-Modal Testing
nonroad,2020,LCPXL09.3HTF,C9.3,CERT TEST 1,9.286,7-15 ppm Ultra Low Sulfur Diesel,Variable Speed,Steady-State 8-Mode Cycle,Ramped-Modal Testing
nonroad,2020,LCPXL32.0HXF,C32,CERT TEST 1,32.101,7-15 ppm Ultra Low Sulfur Diesel,Variable Speed,Steady-State 8-Mode Cycle,Ramped-Modal Testing
nonroad,2020,LCPXL32.0HXG,C32,CERT TEST 1,32.101,7-15 ppm Ultra Low Sulfur Diesel,Variable Speed,Steady-State 8-Mode Cycle,Ramped-Modal Testing
nonroad,2020,LCPXL27.0HXF,C27,CERT TEST 3,27.037000000000003,7-15 ppm Ultra Low Sulfur Diesel,Variable Speed,Steady-State 8-Mode Cycle,Ramped-Modal Testing
nonroad,2018,JDICL01.8LEA,D18NAP,DL01-LEL00,1.794,7-15 ppm Ultra Low Sulfur Diesel,Variable Speed,Steady-State 8-Mode Cycle,Ramped-Modal Testing
nonroad,2021,MJCBL04.4TA5,,,,,,,
nonroad,2021,MDCLL02.4HIV,4HTI4,5525-2474,2.435,7-15 ppm Ultra Low Sulfur Diesel,Variable Speed,Steady-State 8-Mode Cycle,Ramped-Modal Testing
nonroad,2021,MCPXL18.1NYS,C18,CERT TEST 2,18.131,300-500 ppm Low Sulfur Diesel,Variable Speed,Steady-State 8-Mode Cycle,Discrete-Modal Testing
nonroad,2021,MCPXL18.1NYS,C18,CERT TEST 1,18.131,300-500 ppm Low Sulfur Diesel,Constant Speed,Steady-State 5-Mode Cycle,Discrete-Modal Testing
nonroad,2021,MFGXL3.85ED0,KD355TA,KD3TA,2.887,7-15 ppm Ultra Low Sulfur Diesel,Variable Speed,Steady-State 8-Mode Cycle,Ramped-Modal Testing
nonroad,2021,MJDXL13.5320,6136,6136HPRNT1A,13.548,7-15 ppm Ultra Low Sulfur Diesel,Variable Speed,Steady-State 8-Mode Cycle,Ramped-Modal Testing
nonroad,2021,MSIDL06.6G6D,49AWF.1120,1,4.91,7-15 ppm Ultra Low Sulfur Diesel,Variable Speed,Steady-State 8-Mode Cycle,Ramped-Modal Testing
nonroad,2021,MMBXL04.8RJC,OM 924 LA,OM924LA.E3A/4,4.801,300-500 ppm Low Sulfur Diesel,Constant Speed,Steady-State 5-Mode Cycle,Discrete-Modal Testing
nonroad,2021,MMBXL07.2RJC,OM 926 LA,OM926LA.E3A/3,7.2010000000000005,300-500 ppm Low Sulfur Diesel,Constant Speed,Steady-State 5-Mode Cycle,Discrete-Modal Testing
nonroad,2022,NCPXL45.8NZS,5006C,CERT TEST,22.921,7-15 ppm Ultra Low Sulfur Diesel,Constant Speed,Steady-State 5-Mode Cycle,Discrete-Modal Testing
nonroad,2021,MDZXL03.6122,TCD3.6L4,C5EI55E,3.621,7-15 ppm Ultra Low Sulfur Diesel,Variable Speed,Steady-State 8-Mode Cycle,Ramped-Modal Testing
nonroad,2022,NMVXL0.64EBA,L2E,L2E-P5-1,0.635,7-15 ppm Ultra Low Sulfur Diesel,Constant Speed,Steady-State 5-Mode Cycle,Discrete-Modal Testing
nonroad,2022,NFPXL06.7DGB,,,,,,,
nonroad,2021,MKBXL02.4G3D,,,,,,,
nonroad,2021,MDZXL07.8047,TTCD7.8L6,CFWT291U,7.755000000000001,7-15 ppm Ultra Low Sulfur Diesel,Variable Speed,Steady-State 8-Mode Cycle,Ramped-Modal Testing
nonroad,2021,MYDXL04.6HDA,4XDSPC,,4.572,7-15 ppm Ultra Low Sulfur Diesel,Variable Speed,Steady-State 8-Mode Cycle,Ramped-Modal Testing
nonroad,2018,JVPXL16.1CDC,TWD1673GE,1,16.123,7-15 ppm Ultra Low Sulfur Diesel,Constant Speed,Steady-State 5-Mode Cycle,Discrete-Modal Testing
nonroad,2017,HVPXL16.1CDC,TWD1673GE,1,16.123,7-15 ppm Ultra Low Sulfur Diesel,Constant Speed,Steady-State 5-Mode Cycle,Discrete-Modal Testing
nonroad,2021,MJCBL04.8S12,448 TA4-129,I2A,4.765000000000001,7-15 ppm Ultra Low Sulfur Diesel,Variable Speed,Steady-State 8-Mode Cycle,Ramped-Modal Testing
nonroad,2022,NCPXL08.8NZS,C9,CERT TEST 1,8.808,300-500 ppm Low Sulfur Diesel,Constant Speed,Steady-State 5-Mode Cycle,Discrete-Modal Testing
nonroad,2021,MFPXL08.7T4X,F2CFE613K*B,F2CFE613K*B,8.709,7-15 ppm Ultra Low Sulfur Diesel,Variable Speed,Steady-State 8-Mode Cycle,Ramped-Modal Testing
nonroad,2021,MCPXL15.2NYS,C15,CERT TEST 2,15.213000000000001,300-500 ppm Low Sulfur Diesel,Variable Speed,Steady-State 8-Mode Cycle,Discrete-Modal Testing
nonroad,2021,MVPXL16.1ACC,TAD1642GE-B,1,16.123,300-500 ppm Low Sulfur Diesel,Constant Speed,Steady-State 5-Mode Cycle,Discrete-Modal Testing
nonroad,2021,MKLXL30.5GDC,SAA12V140E-7,5C01,30.48,7-15 ppm Ultra Low Sulfur Diesel,Variable Speed,Steady-State 8-Mode Cycle,Ramped-Modal Testing
nonroad,2021,MY9XL16.4DAA,DC16 084A,2 722 756,16.353,7-15 ppm Ultra Low Sulfur Diesel,Variable Speed,Steady-State 8-Mode Cycle,Ramped-Modal Testing
nonroad,2022,NCEXL0540AAB,QSL8.9G,3301:FR93008G,8.88,300-500 ppm Low Sulfur Diesel,Constant Speed,Steady-State 5-Mode Cycle,Ramped-Modal Testing
nonroad,2021,MPKXL07.0BN1,1206F-E70TTA(C7.1),PARENT-4350/1800,7.014,7-15 ppm Ultra Low Sulfur Diesel,Constant Speed,Steady-State 5-Mode Cycle,Ramped-Modal Testing
nonroad,2021,MDCLL01.8HNV,,,,,,,
nonroad,2021,MPKXL04.4SU1,1204J-E44TTA(C4.4),PARENT-5094/2200,4.399,7-15 ppm Ultra Low Sulfur Diesel,Variable Speed,Steady-State 8-Mode Cycle,Ramped-Modal Testing
nonroad,2021,MPKXL07.0VL4,1206J-E70TA(C7.1),PARENT-6188/2200,7.014,7-15 ppm Ultra Low Sulfur Diesel,Variable Speed,Steady-State 8-Mode Cycle,Ramped-Modal Testing
nonroad,2021,MDZXL07.8046,D8J,CFVI210,7.755000000000001,7-15 ppm Ultra Low Sulfur Diesel,Variable Speed,Steady-State 8-Mode Cycle,Ramped-Modal Testing
nonroad,2022,NJCBL03.0NF5,430 TA4-55,-,2.978,7-15 ppm Ultra Low Sulfur Diesel,Variable Speed,Steady-State 8-Mode Cycle,Ramped-Modal Testing
nonroad,2022,NJDXL04.5214,,,,,,,
nonroad,2022,NKBXL01.5BCC,,,,,,,
nonroad,2022,NHZXL.517M54,1B50E,3600-7.9-vs,0.516,7-15 ppm Ultra Low Sulfur Diesel,Variable Speed,Steady-State 6-Mode Cycle,Ramped-Modal Testing
nonroad,2022,NFPXL08.7T4X,,,,,,,
nonroad,2021,MMNBL16.2VGT,D4276LE,131,16.154,7-15 ppm Ultra Low Sulfur Diesel,Variable Speed,Steady-State 8-Mode Cycle,Discrete-Modal Testing
nonroad,2021,MDZXL05.7052,D6J,CFVI120B,5.702,7-15 ppm Ultra Low Sulfur Diesel,Variable Speed,Steady-State 8-Mode Cycle,Ramped-Modal Testing
nonroad,2022,NJDXL09.0313,,,,,,,
nonroad,2022,NKHXL01.9DIM,KDI1903M,,1.861,7-15 ppm Ultra Low Sulfur Diesel,Constant Speed,Steady-State 5-Mode Cycle,Discrete-Modal Testing
nonroad,2022,NFPXL03.4DES,,,,,,,
nonroad,2022,NMBXL12.8RJD,OM 471 LA,471LA.E5-1,12.809000000000001,7-15 ppm Ultra Low Sulfur Diesel,Constant Speed,Steady-State 5-Mode Cycle,Ramped-Modal Testing
nonroad,2022,NMBXL15.6RJD,OM 473 LA,473LA.E5-1,15.569,7-15 ppm Ultra Low Sulfur Diesel,Constant Speed,Steady-State 5-Mode Cycle,Ramped-Modal Testing
nonroad,2022,NKBXL02.4EMD,,,,,,,
nonroad,2022,NPKXL07.0PW1,1106D-E70TA(C7.1),PARENT4364/1800,7.014,300-500 ppm Low Sulfur Diesel,Constant Speed,Steady-State 5-Mode Cycle,Discrete-Modal Testing
nonroad,2022,NPKXL04.4NL1,1104D-44T(C4.4),PARENT-3066/2200,4.399,300-500 ppm Low Sulfur Diesel,Variable Speed,Steady-State 8-Mode Cycle,Discrete-Modal Testing
nonroad,2022,NYDXL01.3TPA,,,,,,,
nonroad,2022,NKBXL01.8E1D,,,,,,,
nonroad,2022,NKBXL02.2RCB,,,,,,,
nonroad,2022,NKBXL.719NCB,,,,,,,
nonroad,2022,NYDXL01.3NSA,,,,,,,
nonroad,2022,NKBXL02.6EKD,,,,,,,
nonroad,2022,NKBXL03.3EKD,,,,,,,
nonroad,2022,NFTGL03.0R3C,,,,,,,
nonroad,2022,NYDXL03.3TDB,4TTWPC,,3.319,7-15 ppm Ultra Low Sulfur Diesel,Variable Speed,Steady-State 8-Mode Cycle,Ramped-Modal Testing
nonroad,2022,NKBXL03.3E2D,,,,,,,
nonroad,2022,NPKXL.507F1V,402F-05(C0.5),PARENT-6390/2600,0.508,7-15 ppm Ultra Low Sulfur Diesel,Variable Speed,Steady-State 6-Mode Cycle,Discrete-Modal Testing
nonroad,2021,MMVXL33.9BBA,S12A2-PTAW,S12A2-Y2PTAW-2,33.93,300-500 ppm Low Sulfur Diesel,Constant Speed,Steady-State 5-Mode Cycle,Discrete-Modal Testing
nonroad,2022,NPKXL01.1F2V,403F-11(C1.1),PARENT-6448/2800,1.1320000000000001,7-15 ppm Ultra Low Sulfur Diesel,Variable Speed,Steady-State 6-Mode Cycle,Ramped-Modal Testing
nonroad,2022,NJDXL13.5310,,,,,,,
nonroad,2022,NYDXL02.1HDA,,,,,,,
nonroad,2022,NKBXL03.3BCC,,,,,,,
nonroad,2020,LKBXL03.8A1C,V3800-CR-NT-BG-EW,V3800-CR-NT-BG-EW01,3.77,7-15 ppm Ultra Low Sulfur Diesel,Constant Speed,Steady-State 5-Mode Cycle,Ramped-Modal Testing
nonroad,2022,NPKXL01.1F2C,403F-11(C1.1),PARENT-6602/1800,1.1320000000000001,7-15 ppm Ultra Low Sulfur Diesel,Constant Speed,Steady-State 5-Mode Cycle,Discrete-Modal Testing
nonroad,2022,NMMLL02.6M73,VNEM373,VNEM373,2.649,7-15 ppm Ultra Low Sulfur Diesel,Variable Speed,Steady-State 8-Mode Cycle,Discrete-Modal Testing
nonroad,2022,NMMLL02.6T70,VNET370,VNET370,2.649,7-15 ppm Ultra Low Sulfur Diesel,Variable Speed,Steady-State 8-Mode Cycle,Discrete-Modal Testing
nonroad,2021,MVSXL10.8STV,D11M,11-50,10.837,7-15 ppm Ultra Low Sulfur Diesel,Variable Speed,Steady-State 8-Mode Cycle,Ramped-Modal Testing
nonroad,2021,MDZXL02.9020,TD2.9L4,C4DI55C,2.9250000000000003,7-15 ppm Ultra Low Sulfur Diesel,Variable Speed,Steady-State 8-Mode Cycle,Ramped-Modal Testing
nonroad,2022,NMMLL02.7C45,CE-45,CE-45,2.7310000000000003,7-15 ppm Ultra Low Sulfur Diesel,Variable Speed,Steady-State 8-Mode Cycle,Discrete-Modal Testing
nonroad,2022,NJDXL02.9339,3029,3029HPRNT5A,2.94,7-15 ppm Ultra Low Sulfur Diesel,Variable Speed,Steady-State 8-Mode Cycle,Ramped-Modal Testing
nonroad,2021,MDZXL03.6018,TD3.6L4,C4DI55F,3.621,7-15 ppm Ultra Low Sulfur Diesel,Variable Speed,Steady-State 8-Mode Cycle,Ramped-Modal Testing
nonroad,2021,MDZXL03.6060,TCD3.6L4,CFXI100D,3.621,7-15 ppm Ultra Low Sulfur Diesel,Variable Speed,Steady-State 8-Mode Cycle,Ramped-Modal Testing
nonroad,2022,NDZXL04.8029,TCD2013L04 2V,D3UC100,4.764,300-500 ppm Low Sulfur Diesel,Constant Speed,Steady-State 5-Mode Cycle,Discrete-Modal Testing
nonroad,2022,NDZXL07.1027,TAD753GE,D3CC202,7.1450000000000005,300-500 ppm Low Sulfur Diesel,Constant Speed,Steady-State 5-Mode Cycle,Discrete-Modal Testing
nonroad,2022,NMVXL65.4BBA,S16R-PTAW2,S16R-Y2PTAW2-1,65.37,300-500 ppm Low Sulfur Diesel,Constant Speed,Steady-State 5-Mode Cycle,Discrete-Modal Testing
nonroad,2021,MFPXL06.7FR1,,,,,,,
nonroad,2020,LVPXL07.7CJA,TAD873 VE,4,7.698,7-15 ppm Ultra Low Sulfur Diesel,Variable Speed,Steady-State 8-Mode Cycle,Ramped-Modal Testing
nonroad,2022,NDCLL01.6D7G,,,,,,,
nonroad,2022,NDCLL01.0D5G,,,,,,,
nonroad,2022,NDZXL02.9021,D2.9L4,"C4DI36,4",2.9250000000000003,7-15 ppm Ultra Low Sulfur Diesel,Variable Speed,Steady-State 8-Mode Cycle,Ramped-Modal Testing
nonroad,2022,NDZXL04.1056,TCD4.1L4,CFVI115D,4.038,7-15 ppm Ultra Low Sulfur Diesel,Variable Speed,Steady-State 8-Mode Cycle,Ramped-Modal Testing
nonroad,2022,NDZXL06.1050,TCD6.1L6,CFVI180C,6.057,7-15 ppm Ultra Low Sulfur Diesel,Variable Speed,Steady-State 8-Mode Cycle,Ramped-Modal Testing
nonroad,2021,MVPXL10.8CJA,TAD1172 VE,3,10.837,7-15 ppm Ultra Low Sulfur Diesel,Variable Speed,Steady-State 8-Mode Cycle,Ramped-Modal Testing
nonroad,2021,MVPXL05.1CJA,TAD572 VE,3,5.132000000000001,7-15 ppm Ultra Low Sulfur Diesel,Variable Speed,Steady-State 8-Mode Cycle,Ramped-Modal Testing
nonroad,2021,MCPXL32.0HXG,C32,CERT TEST 1,32.101,7-15 ppm Ultra Low Sulfur Diesel,Variable Speed,Steady-State 8-Mode Cycle,Ramped-Modal Testing
nonroad,2022,NMVXL02.5DAA,S4Q2,S4Q2-Y3EPA2,2.5,7-15 ppm Ultra Low Sulfur Diesel,Variable Speed,Steady-State 8-Mode Cycle,Discrete-Modal Testing
nonroad,2022,NMVXL02.5LLL,S4Q2,S4Q2-Y3EPA1,2.5060000000000002,7-15 ppm Ultra Low Sulfur Diesel,Variable Speed,Steady-State 8-Mode Cycle,Discrete-Modal Testing
nonroad,2022,NMVXL03.3AAK,SS,S4S-Y365ADDG,3.331,7-15 ppm Ultra Low Sulfur Diesel,Variable Speed,Steady-State 8-Mode Cycle,Discrete-Modal Testing
nonroad,2021,MCPXL12.5NYS,C13,CERT TEST 2,12.503,300-500 ppm Low Sulfur Diesel,Variable Speed,Steady-State 8-Mode Cycle,Discrete-Modal Testing
nonroad,2022,NDZXL03.6060,TCD3.6L4,CFXI100D,3.621,7-15 ppm Ultra Low Sulfur Diesel,Variable Speed,Steady-State 8-Mode Cycle,Ramped-Modal Testing
nonroad,2021,MCPXL18.1HTF,C18,CERT TEST 1,18.131,7-15 ppm Ultra Low Sulfur Diesel,Variable Speed,Steady-State 8-Mode Cycle,Ramped-Modal Testing
nonroad,2021,MKOEL3.24TAX,4R810TA1,4R810TA1,3.2430000000000003,7-15 ppm Ultra Low Sulfur Diesel,Constant Speed,Steady-State 5-Mode Cycle,Discrete-Modal Testing
nonroad,2022,NDTAL07.2RJC,OM 926 LA,OM926LA.E3A/3,7.2010000000000005,300-500 ppm Low Sulfur Diesel,Constant Speed,Steady-State 5-Mode Cycle,Discrete-Modal Testing
nonroad,2021,MCPXL78.1NZS,3516E,CERT TEST 4,78.081,300-500 ppm Low Sulfur Diesel,Constant Speed,Steady-State 5-Mode Cycle,Discrete-Modal Testing
nonroad,2022,NPKXL04.4NR1,1104D-E44TA(C4.4),PARENT-4514/1800,4.399,300-500 ppm Low Sulfur Diesel,Constant Speed,Steady-State 5-Mode Cycle,Discrete-Modal Testing
nonroad,2022,NCPXL18.1NYS,C18,CERT TEST 2,18.131,300-500 ppm Low Sulfur Diesel,Variable Speed,Steady-State 8-Mode Cycle,Discrete-Modal Testing
nonroad,2022,NDCLL02.4HIV,,,,,,,
nonroad,2022,NJCBL04.4S09,444 TA4-81,V1C,4.399,7-15 ppm Ultra Low Sulfur Diesel,Variable Speed,Steady-State 8-Mode Cycle,Ramped-Modal Testing
nonroad,2022,NDCLL03.8JAV,4JTA4,A519-2284,3.833,7-15 ppm Ultra Low Sulfur Diesel,Variable Speed,Steady-State 8-Mode Cycle,Ramped-Modal Testing
nonroad,2022,NMDDL21.0ZWR,12V1600G90S,7313,21.042,7-15 ppm Ultra Low Sulfur Diesel,Constant Speed,Steady-State 5-Mode Cycle,Discrete-Modal Testing
nonroad,2022,NFPXL15.9FR1,,,,,,,
nonroad,2022,NY9XL12.7DAA,DC13 085A,2 722 602,12.742,7-15 ppm Ultra Low Sulfur Diesel,Variable Speed,Steady-State 8-Mode Cycle,Ramped-Modal Testing
nonroad,2023,PCEXL0540AAB,QSL,8548:FR91672,8.88,300-500 ppm Low Sulfur Diesel,Variable Speed,Steady-State 8-Mode Cycle,Ramped-Modal Testing
nonroad,2022,NY9XL09.3DAA,DC09 086A,2 133 497,9.291,7-15 ppm Ultra Low Sulfur Diesel,Variable Speed,Steady-State 8-Mode Cycle,Ramped-Modal Testing
nonroad,2021,MSZXL03.0RXA,AR-4JJ1X,4JJ1XDRAD-01,2.999,7-15 ppm Ultra Low Sulfur Diesel,Variable Speed,Steady-State 8-Mode Cycle,Ramped-Modal Testing
nonroad,2022,NSZXL03.0RXA,AR-4JJ1X,4JJ1XDRAD-01,2.999,7-15 ppm Ultra Low Sulfur Diesel,Variable Speed,Steady-State 8-Mode Cycle,Ramped-Modal Testing
nonroad,2018,JSZXL03.0RXB,BR-4JJ1X,4JJ1XDRBB-01,2.999,7-15 ppm Ultra Low Sulfur Diesel,Constant Speed,Steady-State 5-Mode Cycle,Ramped-Modal Testing
nonroad,2017,HSZXL05.2QXA,AQ-4HK1X,4HK1XDQAB-01,5.1930000000000005,7-15 ppm Ultra Low Sulfur Diesel,Variable Speed,Steady-State 8-Mode Cycle,Ramped-Modal Testing
nonroad,2018,JSZXL05.2QXA,AQ-4HK1X,4HK1XDQAB-01,5.1930000000000005,7-15 ppm Ultra Low Sulfur Diesel,Variable Speed,Steady-State 8-Mode Cycle,Ramped-Modal Testing
nonroad,2022,NKLXL15.2EDD,SAA6D140E-7,5C09,15.24,7-15 ppm Ultra Low Sulfur Diesel,Variable Speed,Steady-State 8-Mode Cycle,Ramped-Modal Testing
nonroad,2022,NSZXL05.2RXB,BR-4HK1X,4HK1XDRBB-01,5.1930000000000005,7-15 ppm Ultra Low Sulfur Diesel,Constant Speed,Steady-State 5-Mode Cycle,Ramped-Modal Testing
nonroad,2023,PMVXL37.1BBA,S12H-PTAW,S12H-Y2PTAW-1,37.11,300-500 ppm Low Sulfur Diesel,Constant Speed,Steady-State 5-Mode Cycle,Discrete-Modal Testing
nonroad,2023,PMVXL65.4BBA,S16R-PTAW2,S16R-Y2PTAW2-1,65.37,300-500 ppm Low Sulfur Diesel,Constant Speed,Steady-State 5-Mode Cycle,Discrete-Modal Testing
nonroad,2016,GSZXL07.8QXA,AQ-6HK1X,6HK1XDQAB-01,7.79,7-15 ppm Ultra Low Sulfur Diesel,Variable Speed,Steady-State 8-Mode Cycle,Ramped-Modal Testing
nonroad,2019,KSZXL09.8QXA,AQ-6UZ1X,6UZ1XDQAB-01,9.839,7-15 ppm Ultra Low Sulfur Diesel,Variable Speed,Steady-State 8-Mode Cycle,Ramped-Modal Testing
nonroad,2023,PDZXL07.1030,TCD2013L06 2V,D3UC151,7.1450000000000005,300-500 ppm Low Sulfur Diesel,Constant Speed,Steady-State 5-Mode Cycle,Discrete-Modal Testing
nonroad,2021,MSZXL15.7QXA,AQ-6WG1X,6WG1XDQAB-01,15.682,7-15 ppm Ultra Low Sulfur Diesel,Variable Speed,Steady-State 8-Mode Cycle,Ramped-Modal Testing
nonroad,2023,PCEXL023.AAB,QSK23-G5 NR2,OK1,23.152,300-500 ppm Low Sulfur Diesel,Constant Speed,Steady-State 5-Mode Cycle,Discrete-Modal Testing
nonroad,2023,PJDXL02.9121,,,,,,,
nonroad,2022,NKBXL03.8A5D,,,,,,,
nonroad,2022,NVPXL10.8CJA,TAD1172 VE,3,10.837,7-15 ppm Ultra Low Sulfur Diesel,Variable Speed,Steady-State 8-Mode Cycle,Ramped-Modal Testing
nonroad,2022,NMDDL22.4ZWR,12V1600G91S,7344,22.444000000000003,7-15 ppm Ultra Low Sulfur Diesel,Constant Speed,Steady-State 5-Mode Cycle,Discrete-Modal Testing
nonroad,2023,PSZXL02.2VNL,LV-4LE2,4LE2NCVLA-01,2.1790000000000003,300-500 ppm Low Sulfur Diesel,Constant Speed,Steady-State 5-Mode Cycle,Discrete-Modal Testing
