panel,model_year,engine_family,engine_model,engine_code,displacement_l,certification_fuel,engine_operation,test_procedure,test_procedure_type
nonroad,2012,CFPXL04.5SCB,F4HFE413L*A,F4HFE413L*A,4.485,7-15 ppm Ultra Low Sulfur Diesel,Variable Speed,Steady-State 8-Mode Cycle,Ramped-Modal Testing
nonroad,2012,CMVXL01.8EEE,S4L2-T,S4L2-Y3TEPA,1.8,7-15 ppm Ultra Low Sulfur Diesel,Variable Speed,Steady-State 8-Mode Cycle,Discrete-Modal Testing
nonroad,2012,CMVXL02.5FFF,S3Q2-T,S3Q2-Y3TEPA1,1.9000000000000001,7-15 ppm Ultra Low Sulfur Diesel,Variable Speed,Steady-State 8-Mode Cycle,Discrete-Modal Testing
nonroad,2012,CKMCL2.39A45,A2400T-Gen1,,2.392,7-15 ppm Ultra Low Sulfur Diesel,Constant Speed,Steady-State 5-Mode Cycle,Discrete-Modal Testing
nonroad,2012,CFLTL.418AGA,,,,,,,
nonroad,2012,CHZXL.347C30,B30-3000,1B30,0.34700000000000003,7-15 ppm Ultra Low Sulfur Diesel,Constant Speed,Steady-State 5-Mode Cycle,Discrete-Modal Testing
nonroad,2012,CSCLL02.7V49,SJ327E,,2.701,7-15 ppm Ultra Low Sulfur Diesel,Variable Speed,Steady-State 8-Mode Cycle,Discrete-Modal Testing
nonroad,2012,CSCLL02.7V58,TSJ327E_TCIC,,2.701,7-15 ppm Ultra Low Sulfur Diesel,Variable Speed,Steady-State 8-Mode Cycle,Discrete-Modal Testing
nonroad,2012,CDZXL03.6084,D2011L04W,C3CI40,3.619,300-500 ppm Low Sulfur Diesel,Variable Speed,Steady-State 8-Mode Cycle,Discrete-Modal Testing
nonroad,2012,CTIEL02.51DZ,N/A(41kW),,2.486,7-15 ppm Ultra Low Sulfur Diesel,Variable Speed,Steady-State 8-Mode Cycle,Discrete-Modal Testing
nonroad,2012,CDCLL02.2D7T,,,,,,,
nonroad,2012,CDCLL02.4B7T,,,,,,,
nonroad,2012,CCPXL27.0ESJ,C27,Cert Test 1,27.0,7-15 ppm Ultra Low Sulfur Diesel,Variable Speed,Steady-State 8-Mode Cycle,Discrete-Modal Testing
nonroad,2012,CHZXL.667C82,D81-3000,1D81Z,0.668,7-15 ppm Ultra Low Sulfur Diesel,Constant Speed,Steady-State 5-Mode Cycle,Discrete-Modal Testing
nonroad,2012,CKHXL2.19CH2,LDW1603(2800RPM),1603,1.6500000000000001,300-500 ppm Low Sulfur Diesel,Variable Speed,Steady-State 8-Mode Cycle,Discrete-Modal Testing
nonroad,2012,CKHXL2.19CH2,LDW1603(2800RPM),1603,1.6500000000000001,7-15 ppm Ultra Low Sulfur Diesel,Variable Speed,Steady-State 8-Mode Cycle,Discrete-Modal Testing
nonroad,2012,CY9XL16.4CAA,DC16 070A,1920596,16.353,7-15 ppm Ultra Low Sulfur Diesel,Variable Speed,Steady-State 8-Mode Cycle,Discrete-Modal Testing
nonroad,2012,CHZXL3.43C42,4M42Z-IFN-2300,4M42Z,3.4320000000000004,7-15 ppm Ultra Low Sulfur Diesel,Constant Speed,Steady-State 5-Mode Cycle,Discrete-Modal Testing
nonroad,2012,CKHXL.686SF2,LDW702,,686.0,7-15 ppm Ultra Low Sulfur Diesel,Variable Speed,Steady-State 6-Mode Cycle,Discrete-Modal Testing
nonroad,2012,CICLL1.12B3G,E3112,6285-885-267-**,1.124,7-15 ppm Ultra Low Sulfur Diesel,Variable Speed,Steady-State 8-Mode Cycle,Discrete-Modal Testing
nonroad,2012,CCZKL.418F86,L186F,,0.41800000000000004,300-500 ppm Low Sulfur Diesel,Constant Speed,Steady-State 5-Mode Cycle,Discrete-Modal Testing
nonroad,2012,CFZWL0.42AAA,,,,,,,
nonroad,2012,CDZXL06.1007,TCD6.1L6,C4FI160,6.057,7-15 ppm Ultra Low Sulfur Diesel,Variable Speed,Steady-State 8-Mode Cycle,Discrete-Modal Testing
nonroad,2012,CYDXL0.44J1N,L100VDML2,,0.435,300-500 ppm Low Sulfur Diesel,Variable Speed,Steady-State 6-Mode Cycle,Discrete-Modal Testing
nonroad,2012,CCEXL15.0AAA,QSX15-G,3797:FR11014,14.948,7-15 ppm Ultra Low Sulfur Diesel,Constant Speed,Steady-State 5-Mode Cycle,Discrete-Modal Testing
nonroad,2012,CCPXL32.0HZA,C32,Cert Test 1,32.0,7-15 ppm Ultra Low Sulfur Diesel,Variable Speed,Steady-State 8-Mode Cycle,Ramped-Modal Testing
nonroad,2012,CLHAL12.0TEC,D946 A7,D946 R06K72001,11.946,7-15 ppm Ultra Low Sulfur Diesel,Variable Speed,Steady-State 8-Mode Cycle,Discrete-Modal Testing
nonroad,2013,DCEXL0275AAK,QSB4.5,2743;FR92384,4.46,300-500 ppm Low Sulfur Diesel,Constant Speed,Steady-State 5-Mode Cycle,Ramped-Modal Testing
nonroad,2013,DCEXL11.9AAA,QSX11.9C,3597:20329,11.946,7-15 ppm Ultra Low Sulfur Diesel,Variable Speed,Steady-State 8-Mode Cycle,Ramped-Modal Testing
nonroad,2012,CPKXL06.6BK1,3774/2200,1,6.598000000000001,7-15 ppm Ultra Low Sulfur Diesel,Variable Speed,Steady-State 8-Mode Cycle,Ramped-Modal Testing
nonroad,2012,CAELL2.14FTD,CAELL2.14FTD,D10108430,2.146,300-500 ppm Low Sulfur Diesel,Variable Speed,Steady-State 8-Mode Cycle,Ramped-Modal Testing
nonroad,2012,CYDXL3.05K4N,XSNVP,,3.0540000000000003,300-500 ppm Low Sulfur Diesel,Variable Speed,Steady-State 8-Mode Cycle,Discrete-Modal Testing
nonroad,2013,DFPXL12.9TR4,F3BFE613A*A,F3BFE613A*A,12.882000000000001,7-15 ppm Ultra Low Sulfur Diesel,Variable Speed,Steady-State 8-Mode Cycle,Ramped-Modal Testing
nonroad,2013,DFPXL08.7EVG,F2CFE614A*A,F2CFE614A*A,8.709,7-15 ppm Ultra Low Sulfur Diesel,Variable Speed,Steady-State 8-Mode Cycle,Ramped-Modal Testing
nonroad,2013,DFPXL06.7DGB,F4GE9685A*J,F4GE9685A*J,6.728000000000001,300-500 ppm Low Sulfur Diesel,Constant Speed,Steady-State 5-Mode Cycle,Discrete-Modal Testing
nonroad,2013,DKLXL23.2FD5,SAA6D170E2-3,2C01,23.152,300-500 ppm Low Sulfur Diesel,Variable Speed,Steady-State 8-Mode Cycle,Discrete-Modal Testing
nonroad,2013,DKLXL23.2FD5,SAA6D170E2-3,2G05,23.152,300-500 ppm Low Sulfur Diesel,Constant Speed,Steady-State 5-Mode Cycle,Discrete-Modal Testing
nonroad,2013,DCEXL023.AAB,QSK23-G9 NR2,CPL3083FR50063,23.152,300-500 ppm Low Sulfur Diesel,Constant Speed,Steady-State 5-Mode Cycle,Discrete-Modal Testing
nonroad,2013,DCEXL023.AAB,QSK23-C,CPL2852FR50049,23.152,300-500 ppm Low Sulfur Diesel,Variable Speed,Steady-State 8-Mode Cycle,Discrete-Modal Testing
nonroad,2012,CJDXL06.8210,4045,4045HPRNT7,4.525,7-15 ppm Ultra Low Sulfur Diesel,Variable Speed,Steady-State 8-Mode Cycle,Ramped-Modal Testing
nonroad,2013,DCEXL15.0AAA,QSX15-G,3797:FR11014,14.948,7-15 ppm Ultra Low Sulfur Diesel,Constant Speed,Steady-State 5-Mode Cycle,Discrete-Modal Testing
nonroad,2013,DCEXL15.0AAI,QSX15-G,3794:FR11012,14.948,7-15 ppm Ultra Low Sulfur Diesel,Constant Speed,Steady-State 5-Mode Cycle,Discrete-Modal Testing
nonroad,2013,DVPXL09.4BAA,TAD952VE,1,9.364,300-500 ppm Low Sulfur Diesel,Variable Speed,Steady-State 8-Mode Cycle,Discrete-Modal Testing
nonroad,2013,DVSXL12.8T4I,D13H,13-6 13-20,12.777000000000001,7-15 ppm Ultra Low Sulfur Diesel,Variable Speed,Steady-State 8-Mode Cycle,Ramped-Modal Testing
nonroad,2013,DVSXL16.1T4I,D16H,16-9 16-11,16.123,7-15 ppm Ultra Low Sulfur Diesel,Variable Speed,Steady-State 8-Mode Cycle,Ramped-Modal Testing
nonroad,2013,DKBXL.276KCB,OC60-EF,OC60-EF01,0.277,7-15 ppm Ultra Low Sulfur Diesel,Variable Speed,Steady-State 6-Mode Cycle,Ramped-Modal Testing
nonroad,2013,DFPXL06.7SCB,F4DFE6138*A,F4DFE6138*A,6.728000000000001,7-15 ppm Ultra Low Sulfur Diesel,Variable Speed,Steady-State 8-Mode Cycle,Ramped-Modal Testing
nonroad,2013,DFPXL04.5SCB,F4HFE413L*A,F4HFE413L*A,4.485,7-15 ppm Ultra Low Sulfur Diesel,Variable Speed,Steady-State 8-Mode Cycle,Ramped-Modal Testing
nonroad,2013,DKBXL01.1DCB,D1105-EF,D1105-EF01,1.124,7-15 ppm Ultra Low Sulfur Diesel,Variable Speed,Steady-State 6-Mode Cycle,Ramped-Modal Testing
nonroad,2013,DFPXL03.4CDD,F5DFL413A*E,F5DFL413A*E,3.7630000000000003,7-15 ppm Ultra Low Sulfur Diesel,Variable Speed,Steady-State 8-Mode Cycle,Ramped-Modal Testing
nonroad,2013,DCPXL11.1ESJ,C11,CERT TEST 1,11.15,300-500 ppm Low Sulfur Diesel,Variable Speed,Steady-State 8-Mode Cycle,Discrete-Modal Testing
nonroad,2012,CMVXL24.5BBA,S6R-PTAW,S6R-Y2PTAW-1,24.514000000000003,300-500 ppm Low Sulfur Diesel,Constant Speed,Steady-State 5-Mode Cycle,Discrete-Modal Testing
nonroad,2013,DJDXL06.8106,4045H,4045HF285B,4.525,300-500 ppm Low Sulfur Diesel,Variable Speed,Steady-State 8-Mode Cycle,Discrete-Modal Testing
nonroad,2012,CVWXL02.0CPY,2.0L TDI 55kW,CPYA,1.9680000000000002,7-15 ppm Ultra Low Sulfur Diesel,Variable Speed,Steady-State 8-Mode Cycle,Discrete-Modal Testing
nonroad,2013,DH3XL2.22L84,45D/2600,N844L-D,2.217,300-500 ppm Low Sulfur Diesel,Variable Speed,Steady-State 8-Mode Cycle,Discrete-Modal Testing
nonroad,2014,EKBXL01.1DCB,D1105-EF,D1105-EF01,1.124,7-15 ppm Ultra Low Sulfur Diesel,Variable Speed,Steady-State 6-Mode Cycle,Ramped-Modal Testing
nonroad,2012,CCPXL27.0HXA,C27,Cert Test 2,27.0,7-15 ppm Ultra Low Sulfur Diesel,Variable Speed,Steady-State 8-Mode Cycle,Ramped-Modal Testing
nonroad,2012,CCPXL32.0HXA,C32,Cert Test 1,32.0,7-15 ppm Ultra Low Sulfur Diesel,Variable Speed,Steady-State 8-Mode Cycle,Ramped-Modal Testing
nonroad,2012,CDZXL03.1041,D2011L02,"C3OI23,5",1.5550000000000002,300-500 ppm Low Sulfur Diesel,Variable Speed,Steady-State 8-Mode Cycle,Ramped-Modal Testing
nonroad,2013,DICLL1.12B3X,E3112,6285-885-308-**,1.124,7-15 ppm Ultra Low Sulfur Diesel,Variable Speed,Steady-State 8-Mode Cycle,Ramped-Modal Testing
nonroad,2012,CCPXL12.5HPB,C13,Cert Test 1,12.5,7-15 ppm Ultra Low Sulfur Diesel,Variable Speed,Steady-State 8-Mode Cycle,Ramped-Modal Testing
